facilityType,seNumber,sectionUid,sectionName,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,active
HOSPITAL,6,,Management of Information,,6.2.1.2,,,246,TRUE
HOSPITAL,6,,Management of Information,,6.2.1.3,,,247,TRUE
HOSPITAL,6,,Management of Information,,6.2.2.1,,,248,TRUE
HOSPITAL,6,,Management of Information,,6.2.2.2,,,249,TRUE
HOSPITAL,6,,Management of Information,,6.2.2.3,,,250,TRUE
HOSPITAL,6,,Management of Information,,6.2.2.4,,,251,TRUE
HOSPITAL,6,,Management of Information,,6.2.2.5,,,252,TRUE
HOSPITAL,6,,Management of Information,,6.2.2.6,,,253,TRUE
HOSPITAL,6,,Management of Information,,6.3.1.1,,,254,TRUE
HOSPITAL,6,,Management of Information,,6.3.1.2,,,255,TRUE
HOSPITAL,6,,Management of Information,,6.3.1.3,,,256,TRUE
HOSPITAL,6,,Management of Information,,6.3.1.4,,,257,TRUE
HOSPITAL,6,,Management of Information,,6.3.1.5,,,258,TRUE
HOSPITAL,6,,Management of Information,,6.3.2.1,,,259,TRUE
HOSPITAL,6,,Management of Information,,6.3.2.2,,,260,TRUE
HOSPITAL,6,,Management of Information,,6.3.2.3,,,261,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.1,,,262,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.2,,,263,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.3,,,264,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.4,,,265,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.5,,,266,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.6,,,267,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.7,,,268,TRUE
HOSPITAL,7,,Risk Management,,7.1.1.8,,,269,TRUE
HOSPITAL,7,,Risk Management,,7.2.1.1,,,270,TRUE
HOSPITAL,7,,Risk Management,,7.2.1.2,,,271,TRUE
HOSPITAL,7,,Risk Management,,7.2.1.3,,,272,TRUE
HOSPITAL,7,,Risk Management,,7.2.1.4,,,273,TRUE
HOSPITAL,7,,Risk Management,,7.2.1.5,,,274,TRUE
HOSPITAL,7,,Risk Management,,7.2.2.1,,,275,TRUE
HOSPITAL,7,,Risk Management,,7.2.2.2,,,276,TRUE
HOSPITAL,7,,Risk Management,,7.2.2.3,,,277,TRUE
HOSPITAL,7,,Risk Management,,7.2.2.4,,,278,TRUE
HOSPITAL,7,,Risk Management,,7.2.3.1,,,279,TRUE
HOSPITAL,7,,Risk Management,,7.2.3.2,,,280,TRUE
HOSPITAL,7,,Risk Management,,7.2.4.1,,,281,TRUE
HOSPITAL,7,,Risk Management,,7.2.4.2,,,282,TRUE
HOSPITAL,7,,Risk Management,,7.2.4.3,,,283,TRUE
HOSPITAL,7,,Risk Management,,7.2.5.1,,,284,TRUE
HOSPITAL,7,,Risk Management,,7.2.5.2,,,285,TRUE
HOSPITAL,7,,Risk Management,,7.2.5.3,,,286,TRUE
HOSPITAL,7,,Risk Management,,7.2.6.1,,,287,TRUE
HOSPITAL,7,,Risk Management,,7.2.6.2,,,288,TRUE
HOSPITAL,7,,Risk Management,,7.2.6.3,,,289,TRUE
HOSPITAL,7,,Risk Management,,7.2.6.4,,,290,TRUE
HOSPITAL,7,,Risk Management,,7.2.6.5,,,291,TRUE
HOSPITAL,7,,Risk Management,,7.3.1.1,,,292,TRUE
HOSPITAL,7,,Risk Management,,7.3.1.2,,,293,TRUE
HOSPITAL,7,,Risk Management,,7.3.1.3,,,294,TRUE
HOSPITAL,7,,Risk Management,,7.3.1.4,,,295,TRUE
HOSPITAL,7,,Risk Management,,7.3.1.5,,,296,TRUE
HOSPITAL,7,,Risk Management,,7.4.1.1,,,297,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.1,,,298,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.2,,,299,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.3,,,300,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.4,,,301,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.5,,,302,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.6,,,303,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.7,,,304,TRUE
HOSPITAL,7,,Risk Management,,7.5.1.8,,,305,TRUE
HOSPITAL,7,,Risk Management,,7.6.1.1,,,306,TRUE
HOSPITAL,7,,Risk Management,,7.6.1.2,,,307,TRUE
HOSPITAL,7,,Risk Management,,7.7.1.1,,,308,TRUE
HOSPITAL,7,,Risk Management,,7.7.1.2,,,309,TRUE
HOSPITAL,7,,Risk Management,,7.7.1.3,,,310,TRUE
HOSPITAL,7,,Risk Management,,7.7.1.4,,,311,TRUE
HOSPITAL,7,,Risk Management,,7.7.1.5,,,312,TRUE
HOSPITAL,7,,Risk Management,,7.7.1.6,,,313,TRUE
HOSPITAL,7,,Risk Management,,7.7.1.7,,,314,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.1.1,,,315,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.1.2,,,316,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.1.3,,,317,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.1.4,,,318,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.1.5,,,319,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.1.6,,,320,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.2.1,,,321,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.2.2,,,322,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.1.2.3,,,323,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.1,,,324,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.2,,,325,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.3,,,326,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.4,,,327,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.5,,,328,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.6,,,329,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.7,,,330,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.1.8,,,331,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.2.1,,,332,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.2.2,,,333,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.2.3,,,334,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.2.2.4,,,335,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.3.1.1,,,336,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.3.1.2,,,337,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.3.1.3,,,338,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.3.1.4,,,339,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.3.1.5,,,340,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.4.1.1,,,341,TRUE
HOSPITAL,8,,Quality Management and Improvement,,8.4.1.2,,,342,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.1,,,343,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.2,,,344,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.3,,,345,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.4,,,346,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.5,,,347,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.6,,,348,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.7,,,349,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.1.8,,,350,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.2.1,,,351,TRUE
