facilityType,sourceCriterionCode,sourceDescription,linkType,targetCriterionCode,sortOrder,scoringWeight,includeInTooltip,active
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,19.1.4.1,7,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,21.5.1.1,8,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,22.2.1.1,9,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,22.2.2.3,10,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,22.7.1.1,11,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,22.7.2.1,12,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,23.2.1.1,13,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,23.2.2.1,14,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,3.2.1.12,15,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,3.3.2.1,16,1,TRUE,TRUE
