facilityType,seNumber,sectionPiId,sectionTitle,sortOrder,active
HOSPITAL,31,31.7,Risk Management,7,TRUE
HOSPITAL,32,32.1,Management of the Service,1,TRUE
HOSPITAL,32,32.2,Facilities and Equipment,2,TRUE
HOSPITAL,32,32.3,Policies and Procedures,3,TRUE
HOSPITAL,32,32.4,Coordination of Patient Care,4,TRUE
HOSPITAL,32,32.5,Patient and Family Education,5,TRUE
HOSPITAL,32,32.6,Quality Improvement,6,TRUE
HOSPITAL,32,32.7,Patient Rights,7,TRUE
HOSPITAL,32,32.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,32,32.9,Risk Management,9,TRUE
HOSPITAL,33,33.1,Management of the Service,1,TRUE
HOSPITAL,33,33.2,Facilities and Equipment,2,TRUE
HOSPITAL,33,33.3,Policies and Procedures,3,TRUE
HOSPITAL,33,33.4,Coordination of Patient Care,4,TRUE
HOSPITAL,33,33.5,Patient and Family Education,5,TRUE
HOSPITAL,33,33.6,Quality Improvement,6,TRUE
HOSPITAL,33,33.7,Patient Rights,7,TRUE
HOSPITAL,33,33.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,33,33.9,Risk Management,9,TRUE
HOSPITAL,34,34.1,Management of the Service,1,TRUE
HOSPITAL,34,34.2,Facilities and Equipment,2,TRUE
HOSPITAL,34,34.3,Policies and Procedures,3,TRUE
HOSPITAL,34,34.4,Coordination of Patient Care,4,TRUE
HOSPITAL,34,34.5,Patient and Family Education,5,TRUE
HOSPITAL,34,34.6,Quality Improvement,6,TRUE
HOSPITAL,34,34.7,Patient Rights,7,TRUE
HOSPITAL,34,34.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,34,34.9,Risk Management,9,TRUE
HOSPITAL,35,35.1,Management of the Service,1,TRUE
HOSPITAL,35,35.2,Facilities and Equipment,2,TRUE
HOSPITAL,35,35.3,Policies and Procedures,3,TRUE
HOSPITAL,35,35.4,Coordination of Patient Care,4,TRUE
HOSPITAL,35,35.5,Patient and Family Education,5,TRUE
HOSPITAL,35,35.6,Quality Improvement,6,TRUE
HOSPITAL,35,35.7,Patient Rights,7,TRUE
HOSPITAL,35,35.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,35,35.9,Risk Management,9,TRUE
HOSPITAL,36,36.1,Management of the Service,1,TRUE
HOSPITAL,36,36.2,Facilities and Equipment,2,TRUE
HOSPITAL,36,36.3,Policies and Procedures,3,TRUE
HOSPITAL,36,36.4,Coordination of Patient Care,4,TRUE
HOSPITAL,36,36.5,Patient and Family Education,5,TRUE
HOSPITAL,36,36.6,Quality Improvement,6,TRUE
HOSPITAL,36,36.7,Patient Rights,7,TRUE
HOSPITAL,36,36.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,36,36.9,Risk Management,9,TRUE
HOSPITAL,37,37.1,Management of the Service,1,TRUE
HOSPITAL,37,37.2,Facilities and Equipment,2,TRUE
HOSPITAL,37,37.3,Policies and Procedures,3,TRUE
HOSPITAL,37,37.4,Coordination of Patient Care,4,TRUE
HOSPITAL,37,37.5,Patient and Family Education,5,TRUE
HOSPITAL,37,37.6,Quality Improvement,6,TRUE
HOSPITAL,37,37.7,Patient Rights,7,TRUE
HOSPITAL,37,37.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,37,37.9,Risk Management,9,TRUE
HOSPITAL,38,38.1,Management of the Service,1,TRUE
HOSPITAL,38,38.2,Facilities and Equipment,2,TRUE
HOSPITAL,38,38.3,Policies and Procedures,3,TRUE
HOSPITAL,38,38.4,Coordination of Patient Care,4,TRUE
HOSPITAL,38,38.5,Patient and Family Education,5,TRUE
HOSPITAL,38,38.6,Quality improvement,6,TRUE
HOSPITAL,38,38.7,Patient Rights,7,TRUE
HOSPITAL,38,38.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,38,38.9,Risk Management,9,TRUE
HOSPITAL,39,39.1,Coordination of patient care,1,TRUE
HOSPITAL,39,39.2,Assessment of patients,2,TRUE
HOSPITAL,39,39.3,Patient care,3,TRUE
HOSPITAL,39,39.4,Medication management,4,TRUE
HOSPITAL,39,39.5,Food and nutrition therapy,5,TRUE
HOSPITAL,39,39.6,Patient and family education,6,TRUE
HOSPITAL,39,39.7,Continuity of care,7,TRUE
HOSPITAL,39,39.8,Quality improvement,8,TRUE
HOSPITAL,39,39.9,Patient rights,9,TRUE
HOSPITAL,39,39.10,Prevention and control of infection,10,TRUE
HOSPITAL,39,39.11,Occupational health and safety and risk management,11,TRUE
HOSPITAL,40,40.1,Coordination of Patient Care,1,TRUE
HOSPITAL,40,40.2,Assessement of Patients,2,TRUE
HOSPITAL,40,40.3,Patient Care,3,TRUE
HOSPITAL,40,40.4,Medication Management,4,TRUE
HOSPITAL,40,40.5,Food and Nutrition Therapy,5,TRUE
HOSPITAL,40,40.6,Patient and Family Education,6,TRUE
HOSPITAL,40,40.7,Continuity of Care,7,TRUE
HOSPITAL,40,40.8,Quality Improvement,8,TRUE
HOSPITAL,40,40.9,Patient Rights,9,TRUE
HOSPITAL,40,40.10,Prevention and Control of Infection,10,TRUE
HOSPITAL,40,40.11,Occupational Health and Safety and Risk Management,11,TRUE
HOSPITAL,41,41.1,Management of the Electro-Convulsive Therapy Service,1,TRUE
HOSPITAL,41,41.2,Assessment of Patients,2,TRUE
HOSPITAL,41,41.3,Anaesthetic Care,3,TRUE
HOSPITAL,41,41.4,"Facilities, Equipment, Supplies and Medication",4,TRUE
HOSPITAL,41,41.5,Quality Improvement,5,TRUE
HOSPITAL,41,41.6,Patient Rights,6,TRUE
HOSPITAL,41,41.7,Prevention and Control of Infection,7,TRUE
HOSPITAL,41,41.8,Occupational Health and Safety and Risk Management,8,TRUE
HOSPITAL,42,42.1,Coordination of patient care,1,TRUE
HOSPITAL,42,42.2,Assessment of patients,2,TRUE
HOSPITAL,42,42.3,Patient care,3,TRUE
HOSPITAL,42,42.4,Medication management,4,TRUE
HOSPITAL,42,42.5,Food and nutrition therapy,5,TRUE
HOSPITAL,42,42.6,Patient and family education,6,TRUE
HOSPITAL,42,42.7,Continuity of care,7,TRUE
HOSPITAL,42,42.8,Quality improvement,8,TRUE
HOSPITAL,42,42.9,Patient rights,9,TRUE
HOSPITAL,42,42.10,Prevention and control of infection,10,TRUE
HOSPITAL,42,42.11,Occupational health and safety and risk management,11,TRUE
HOSPITAL,43,43.1,Coordination of Patient Care,1,TRUE
HOSPITAL,43,43.2,Assessment of Patients,2,TRUE
HOSPITAL,43,43.3,Patient Care,3,TRUE
HOSPITAL,43,43.4,Medication Management,4,TRUE
HOSPITAL,43,43.5,Food and Nutrition Therapy,5,TRUE
HOSPITAL,43,43.6,Patient and Family Education,6,TRUE
HOSPITAL,43,43.7,Continuity of Care,7,TRUE
HOSPITAL,43,43.8,Quality Improvement,8,TRUE
HOSPITAL,43,43.9,Patient Rights,9,TRUE
