facilityType,seNumber,sectionPiId,standardId,questionCode,questionText,guideline,category,severity,isCritical,dataElementUid,dhis2DataElementCode,dhis2DataElementName,uidMatchMethod,valueType,domainType,optionSetUid,compulsory,sortOrderWithinStandard,active
HOSPITAL,1,1.3,1.3.1,1.3.1.5,The departmental or service manager ensures that resources are available to provide those services,"The score of this criterion should be based on the aggregated scores of relevant criteria in individual services and should take into consideration any critical/serious/important shortfalls identified with regard to consumables, medication etc. that impact negatively on patient care and service delivery. These items exclude physical resources such as facilities, installations and equipment, which are dealt with in criterion 1.2.2.3.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,1,1.3,1.3.1,1.3.1.6,Departmental or service managers provide orientation and training for all personnel of the department or service appropriate to their responsibilities.,"Documented evidence if required of orientation/induction/in-service training across the entire organisation, and a NC/PC rating is justified where there are any critical/major/serious shortfalls with regard to training (note any critical deficiencies in relation to resuscitation, health & safety, infection control, pain management), or a general finding/high volume/trend of non-/partially compliant criteria in the service elements.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,1,1.3,1.3.1,1.3.1.7,There is coordination and integration of services with other departments and services.,This criterion's score should be a culmination of the scores obtained at departmental levels throughout the organisation. The results obtained from patient record audits of aspects pertaining to continuity of care and interdepartmental Coordination will also influence this criterion score.,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,1,1.3,1.3.1,1.3.1.8,Departmental managers implement quality control and improvement programmes.,This criterion's score should be a culmination of the scores obtained at departmental levels throughout the organisation. Also take note of the relevant links with Service Element 8.,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,8,TRUE
HOSPITAL,1,1.3,1.3.2,1.3.2.1,"Care planning and delivery is integrated and co-ordinated among care settings, departments and services.",The score of this criterion will be determined by the aggregated ratings of the clinical criteria that deal with the implementation of policies/procedures/protocols/guidelines i.e. the results of clinical audits. Also consider the results of patient record audits/clinical audits as these reflect the level of implementation of relevant policies on clinical care.,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.3,1.3.2,1.3.2.2,Clinical practice guidelines relevant to the patients and services of the organisation are implemented to guide uniform patient care processes.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.3,1.3.2,1.3.2.3,The hospital maintains a clinical record for each patient.,"This may be a paper based or electronic record. Patient held records for outpatients will be scored PC because the record, with its relevant clinical information, is not maintained by the hospital.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.3,1.3.2,1.3.2.4,The patients' clinical records are completed according to guidelines determined by the organisation.,"This refers to the relevant forms/documents that need to be present in the patient folder, as well as the completeness of entries made in the record. For this purpose the results of patient record audits need to be taken into account. Therefore the score of this criterion needs to reflect the aggregated average score of all linked criteria.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,2,2.1,2.1.1,2.1.1.1,A designated individual is responsible for providing support for the organisation’s human resource strategy.,,Basic Management + Efficiency,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,2,2.1,2.1.1,2.1.1.2,The human resource manager is suitably qualified and experienced in human resource management.,,Basic Management + Efficiency,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,2,2.1,2.1.1,2.1.1.3,The human resource manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,,Basic Process + Efficiency,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,2,2.1,2.1.1,2.1.1.4,The human resource manager uses information on staffing needs provided by clinical and managerial personnel to ensure adequate staff provision.,,Basic Process + Efficiency,4,TRUE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
