root,linked,in_hl,in_mx,mx_color,tag,status
40.3.1.5,29.2.2.1,0,1,green,G,MX_ONLY
40.3.1.5,29.2.3.2,0,1,green,G,MX_ONLY
40.3.1.7,29.3.1.1,0,1,green,G,MX_ONLY
40.3.1.7,29.3.1.5,0,1,green,G,MX_ONLY
40.3.2.1,40.1.3.5,0,1,green,G,MX_ONLY
40.3.3.2,1.3.2.1,0,1,green,G,MX_ONLY
40.3.3.5,2.4.2.4,0,1,green,G,MX_ONLY
40.3.4.1,1.3.2.1,0,1,green,G,MX_ONLY
40.3.4.1,7.2.5.1,0,1,green,G,MX_ONLY
40.3.4.1,9.2.1.8,0,1,green,G,MX_ONLY
40.3.5.1,5.6.1.1,0,1,green,G,MX_ONLY
40.3.5.3,5.6.1.1,0,1,green,G,MX_ONLY
40.4.1.11,21.2.1.7,0,1,green,G,MX_ONLY
40.4.1.2,21.5.1.9,0,1,green,G,MX_ONLY
40.4.1.4,21.5.1.11,0,1,green,G,MX_ONLY
40.4.1.5,21.5.1.12,0,1,green,G,MX_ONLY
40.4.1.7,21.5.1.8,0,1,green,G,MX_ONLY
40.4.1.8,21.5.1.9,0,1,green,G,MX_ONLY
40.4.1.9,21.5.1.8,0,1,green,G,MX_ONLY
40.4.2.1,1.3.2.1,0,1,green,G,MX_ONLY
40.4.2.1,21.1.2.1,0,1,green,G,MX_ONLY
40.4.2.1,21.3.1.1,0,1,green,G,MX_ONLY
40.4.2.1,40.1.1.3,0,1,green,G,MX_ONLY
40.4.2.11,21.1.2.1,0,1,green,G,MX_ONLY
40.4.2.11,21.9.1.2,0,1,green,G,MX_ONLY
40.4.2.13,21.6.1.1,0,1,green,G,MX_ONLY
40.4.2.13,21.9.1.2,0,1,green,G,MX_ONLY
40.4.2.13,40.8.1.6,0,1,yellow,,MX_ONLY
40.4.2.13,7.1.1.7,0,1,green,G,MX_ONLY
